regionalStudentHistory,regionalStudentHistory.StudentHistoryID,regionalStudentHistory.StudentID,regionalStudentHistory.CourseInfoID
ETL.Transfer.Models.regionalStudentHistory,6,1,288
ETL.Transfer.Models.regionalStudentHistory,10,1,391
ETL.Transfer.Models.regionalStudentHistory,16,1,563
ETL.Transfer.Models.regionalStudentHistory,31,2,1217
ETL.Transfer.Models.regionalStudentHistory,32,2,1257
ETL.Transfer.Models.regionalStudentHistory,33,3,1309
ETL.Transfer.Models.regionalStudentHistory,34,4,569
ETL.Transfer.Models.regionalStudentHistory,35,5,1223
ETL.Transfer.Models.regionalStudentHistory,39,6,1378
ETL.Transfer.Models.regionalStudentHistory,48,7,435
ETL.Transfer.Models.regionalStudentHistory,77,9,1375
ETL.Transfer.Models.regionalStudentHistory,78,10,1169
ETL.Transfer.Models.regionalStudentHistory,79,10,1273
ETL.Transfer.Models.regionalStudentHistory,80,10,1375
ETL.Transfer.Models.regionalStudentHistory,81,11,494
ETL.Transfer.Models.regionalStudentHistory,84,11,1377
ETL.Transfer.Models.regionalStudentHistory,85,11,975
ETL.Transfer.Models.regionalStudentHistory,88,13,908
ETL.Transfer.Models.regionalStudentHistory,94,14,1113
ETL.Transfer.Models.regionalStudentHistory,95,15,1378
ETL.Transfer.Models.regionalStudentHistory,96,16,649
ETL.Transfer.Models.regionalStudentHistory,97,17,1387
ETL.Transfer.Models.regionalStudentHistory,107,19,436
ETL.Transfer.Models.regionalStudentHistory,115,19,976
ETL.Transfer.Models.regionalStudentHistory,118,19,1112
ETL.Transfer.Models.regionalStudentHistory,119,19,1225
ETL.Transfer.Models.regionalStudentHistory,120,19,1362
ETL.Transfer.Models.regionalStudentHistory,124,19,290
ETL.Transfer.Models.regionalStudentHistory,128,19,214
ETL.Transfer.Models.regionalStudentHistory,131,20,1271
ETL.Transfer.Models.regionalStudentHistory,132,21,1270
ETL.Transfer.Models.regionalStudentHistory,133,21,1271
ETL.Transfer.Models.regionalStudentHistory,139,22,435
ETL.Transfer.Models.regionalStudentHistory,150,26,1390
ETL.Transfer.Models.regionalStudentHistory,151,26,1391
ETL.Transfer.Models.regionalStudentHistory,153,27,1022
ETL.Transfer.Models.regionalStudentHistory,160,27,1396
ETL.Transfer.Models.regionalStudentHistory,161,27,1397
ETL.Transfer.Models.regionalStudentHistory,181,27,904
ETL.Transfer.Models.regionalStudentHistory,188,28,100
ETL.Transfer.Models.regionalStudentHistory,189,28,125
ETL.Transfer.Models.regionalStudentHistory,190,29,1378
ETL.Transfer.Models.regionalStudentHistory,193,32,1270
ETL.Transfer.Models.regionalStudentHistory,194,33,910
ETL.Transfer.Models.regionalStudentHistory,196,34,1110
ETL.Transfer.Models.regionalStudentHistory,198,34,1223
ETL.Transfer.Models.regionalStudentHistory,199,34,1225
ETL.Transfer.Models.regionalStudentHistory,201,34,1267
ETL.Transfer.Models.regionalStudentHistory,202,35,1388
ETL.Transfer.Models.regionalStudentHistory,203,36,1218
ETL.Transfer.Models.regionalStudentHistory,204,36,1318
ETL.Transfer.Models.regionalStudentHistory,207,36,1374
ETL.Transfer.Models.regionalStudentHistory,208,36,1392
ETL.Transfer.Models.regionalStudentHistory,217,37,216
ETL.Transfer.Models.regionalStudentHistory,224,37,497
ETL.Transfer.Models.regionalStudentHistory,225,38,1273
ETL.Transfer.Models.regionalStudentHistory,226,38,1385
ETL.Transfer.Models.regionalStudentHistory,227,39,567
ETL.Transfer.Models.regionalStudentHistory,247,41,729
ETL.Transfer.Models.regionalStudentHistory,251,42,1117
ETL.Transfer.Models.regionalStudentHistory,259,44,1165
ETL.Transfer.Models.regionalStudentHistory,260,45,1371
ETL.Transfer.Models.regionalStudentHistory,266,47,1378
ETL.Transfer.Models.regionalStudentHistory,267,47,1380
ETL.Transfer.Models.regionalStudentHistory,268,48,1360
ETL.Transfer.Models.regionalStudentHistory,269,48,1390
ETL.Transfer.Models.regionalStudentHistory,270,49,1396
ETL.Transfer.Models.regionalStudentHistory,271,50,1395
ETL.Transfer.Models.regionalStudentHistory,274,53,567
ETL.Transfer.Models.regionalStudentHistory,276,53,733
ETL.Transfer.Models.regionalStudentHistory,277,53,770
ETL.Transfer.Models.regionalStudentHistory,279,53,862
ETL.Transfer.Models.regionalStudentHistory,280,53,906
ETL.Transfer.Models.regionalStudentHistory,281,53,908
ETL.Transfer.Models.regionalStudentHistory,282,53,975
ETL.Transfer.Models.regionalStudentHistory,283,53,1023
ETL.Transfer.Models.regionalStudentHistory,287,53,1106
ETL.Transfer.Models.regionalStudentHistory,288,53,1145
ETL.Transfer.Models.regionalStudentHistory,289,53,1146
ETL.Transfer.Models.regionalStudentHistory,290,53,1274
ETL.Transfer.Models.regionalStudentHistory,291,54,1116
ETL.Transfer.Models.regionalStudentHistory,292,55,1361
ETL.Transfer.Models.regionalStudentHistory,293,56,563
ETL.Transfer.Models.regionalStudentHistory,304,56,682
ETL.Transfer.Models.regionalStudentHistory,324,58,1450
ETL.Transfer.Models.regionalStudentHistory,325,58,1310
ETL.Transfer.Models.regionalStudentHistory,326,59,1364
ETL.Transfer.Models.regionalStudentHistory,327,60,1388
ETL.Transfer.Models.regionalStudentHistory,328,60,1389
ETL.Transfer.Models.regionalStudentHistory,329,61,1380
ETL.Transfer.Models.regionalStudentHistory,330,62,906
ETL.Transfer.Models.regionalStudentHistory,331,62,1011
ETL.Transfer.Models.regionalStudentHistory,332,62,395
ETL.Transfer.Models.regionalStudentHistory,333,62,494
ETL.Transfer.Models.regionalStudentHistory,337,62,1168
ETL.Transfer.Models.regionalStudentHistory,338,62,1375
ETL.Transfer.Models.regionalStudentHistory,339,62,1376
ETL.Transfer.Models.regionalStudentHistory,340,62,1377
ETL.Transfer.Models.regionalStudentHistory,351,65,686
ETL.Transfer.Models.regionalStudentHistory,352,65,1262
ETL.Transfer.Models.regionalStudentHistory,353,66,1360
ETL.Transfer.Models.regionalStudentHistory,354,66,1388
ETL.Transfer.Models.regionalStudentHistory,356,68,1320
ETL.Transfer.Models.regionalStudentHistory,357,69,1257
ETL.Transfer.Models.regionalStudentHistory,358,70,1220
ETL.Transfer.Models.regionalStudentHistory,359,70,1319
ETL.Transfer.Models.regionalStudentHistory,360,70,1452
ETL.Transfer.Models.regionalStudentHistory,364,71,692
ETL.Transfer.Models.regionalStudentHistory,365,71,729
ETL.Transfer.Models.regionalStudentHistory,366,71,806
ETL.Transfer.Models.regionalStudentHistory,372,72,215
ETL.Transfer.Models.regionalStudentHistory,376,72,395
ETL.Transfer.Models.regionalStudentHistory,395,74,500
ETL.Transfer.Models.regionalStudentHistory,404,77,1392
