StudentHistory,StudentHistory.StudentHistoryID,StudentHistory.StudentID,StudentHistory.DateRegistered,StudentHistory.DateSchool,StudentHistory.SchoolType,StudentHistory.Seq,StudentHistory.CSeq,StudentHistory.student
ETL.Transfer.Models.StudentHistory,0,1,"10/4/2007 8:39:21 AM","10/11/2007 12:00:00 AM",r,2,"",""
ETL.Transfer.Models.StudentHistory,0,1,"12/22/2008 1:32:24 PM","1/12/2009 12:00:00 AM",s,1,12,""
ETL.Transfer.Models.StudentHistory,0,1,"12/22/2008 1:32:24 PM","1/12/2009 12:00:00 AM",s,1,14,""
ETL.Transfer.Models.StudentHistory,0,1,"12/22/2008 1:32:24 PM","1/12/2009 12:00:00 AM",s,1,22,""
ETL.Transfer.Models.StudentHistory,0,1,"12/22/2008 1:32:24 PM","1/12/2009 12:00:00 AM",s,1,23,""
ETL.Transfer.Models.StudentHistory,0,1,"10/20/2009 8:18:29 AM","11/16/2009 12:00:00 AM",r,2,1,""
ETL.Transfer.Models.StudentHistory,0,1,"6/16/2010 1:28:04 PM","7/26/2010 12:00:00 AM",s,1,18,""
ETL.Transfer.Models.StudentHistory,0,1,"6/16/2010 1:28:04 PM","7/26/2010 12:00:00 AM",s,1,24,""
ETL.Transfer.Models.StudentHistory,0,1,"6/16/2010 1:28:04 PM","7/26/2010 12:00:00 AM",s,1,30,""
ETL.Transfer.Models.StudentHistory,0,1,"3/15/2011 11:36:13 AM","4/4/2011 12:00:00 AM",r,2,1,""
ETL.Transfer.Models.StudentHistory,0,1,"12/7/2011 5:18:51 PM","1/9/2012 12:00:00 AM",s,1,10,""
ETL.Transfer.Models.StudentHistory,0,1,"12/7/2011 5:18:51 PM","1/9/2012 12:00:00 AM",s,1,14,""
ETL.Transfer.Models.StudentHistory,0,1,"12/7/2011 5:18:51 PM","1/9/2012 12:00:00 AM",s,1,17,""
ETL.Transfer.Models.StudentHistory,0,1,"6/18/2012 12:56:18 PM","7/23/2012 12:00:00 AM",s,1,25,""
ETL.Transfer.Models.StudentHistory,0,1,"6/18/2012 12:56:18 PM","7/23/2012 12:00:00 AM",s,1,30,""
ETL.Transfer.Models.StudentHistory,0,1,"9/19/2013 9:18:19 AM","10/3/2013 12:00:00 AM",r,1,1,""
ETL.Transfer.Models.StudentHistory,0,1,"12/12/2013 4:41:56 PM","1/6/2014 12:00:00 AM",s,1,9,""
